medicamento_alvo,medicamento_outro,contexto,classe,fonte,origem,confianca
hidroflux,hidroclorotiazida,"Betabloqueadores, diazóxido O uso concomitante de diuréticos tiazídicos, incluindo hidroclorotiazida, com betabloqueadores ou diazóxido, pode aumentar o risco de hiperglicemia.",1,fonte2,automatica,0.65
divalproato de sodio,olanzapina,"Medicamentos para os quais não foi detectada nenhuma int eração ou com interação sem relevância: antiácidos, cimetidina, ranitidina, clorpromazina, haloperidol, paracetamol, lítio, lorazepam, olanzapina, rufinamida.",0,fonte1,manual,1.0
ultracet,paracetamol,Risco aumentado de hepatotoxicidade (dano no fígado) com uso de álcool Alcoólatras crônicos podem estar sob risco aumentado de toxicidade hepática com o uso excessivo de paracetamol.,2,fonte2,automatica,0.8
drospirenona etinilestradiol,atorvastatina,"INTERAÇÕES MEDICAMENTOSAS Fármacos que reconhecidamente interagem com COCs incluem: - Indutores de enzimas hepáticas como rifampicina; - Fármacos antiepiléticos (DAEs), incluindo fenobarbital, fenitoína, primidona, carbamazepina, oxcarbazepina, topiramato e felbamato; - Fármacos que aumentam os parâmetros farmacocinéticos, incluindo atorvastatina (aumenta os valores da área sob a curva – ASC); - Antibacterianos/antifúngicos, incluindo ampicilina, tetraciclina e griseofulvina; modafinila; - Antirretrovirais (ritonavir); - E possivelmente, a fenilbutazona.",1,fonte1,manual,1.0
acido acetilsalicilico,corticosteroides,"Combinações que requerem precauções para o uso: · metotrexato em doses inferiores a 15 mg/semana: aumento da toxicidade hematológica do metotrexato (diminuição da depuração renal do metotrexato por agentes anti -inflamatórios em geral e deslocamento do metotrexato de sua ligação na proteína plasmática pelos salicilatos); · Anticoagulantes, trombolíticos/ outros inibidores da agregação plaquetária/ hemóstase : aumento do risco de sangramento; · Outros anti -inflamatórios não -esteroidais com salicilatos em doses elevadas: aumento do risco de úlceras e sangramento gastrintestinal devido ao efeito sinérgico; · Inibidores seletivos da recaptação de serotonina ( ISRSs ): aumento do risco de sangramento gastrintestinal superior possivelmente em razão do efeito sinérgico ; · digoxina: aumento das concentrações plasmáticas de digoxina em função da diminuição da excreção renal; · Antidiabéticos, por exemplo, insulina e sulfonilureias: aumento do efeito hipoglicêmico por altas doses do ácido acetilsalicílico por ação hipoglicêmica do ácido acetilsalicílico e deslocamento da sulfonilureia de sua ligação nas proteínas plasmáticas; · Diuréticos em combinação com ácido acetilsalicílico em altas doses: diminuição da filtração glomerular por diminuição da síntese renal de prostaglandina; · Glicocorticoides sistêmicos, exceto hidrocortisona usada como terapia de reposição na doença de Addison: diminuição dos níveis de salicilato plasmático durante o tratamento com corticosteroides e risco de superdose de salicilato após interrupção do tratamento, devido ao aumento da eliminação de salicilatos pelos corticosteroides; · Inibidores da enzima conversora de angiotensina (ECA) em combinação com ácido acetilsalicílico em altas doses: diminuição da filtração glomerular por inibição das prostaglandinas vasodilatadoras.",1,fonte1,manual,1.0
oroxadin,fibratos,"Associação não recomendada Como com outros fibratos, o risco de rabdomiólise e mioglobinúria pode ser aumentado se o ciprofibrato for utilizado em associação com inibidores da HMG CoA redutase.",2,fonte2,automatica,0.8
hidrotheo,levotiroxina,"Hidróxido de Alumínio não deve ser administrado concomitantemente aos antibióticos que contêm tetraciclina (ou qualquer um dos seus sais), e de drogas como: Antagonistas H2, benzodiazepínicos, fenotiazinas, diflunisal, digoxina, , fluorquinolonas, propanolol, penicilaminas, neurolépticos fenotiazínicos, metoprolol, , ranitidina, sais de lítio, sais de , cefdinir, cefpodoxima, cloroquina, ciclinas, bifosfonato, etambutol, fluoreto de sódio, glicocorticóides, , isoniazida, , levotiroxina, lincosamidas, rosuvastatina ou ácido acetilsalicílico, pois pode haver diminuição da absorção destes medicamentos.",2,fonte2,automatica,0.8
montelucaste de sodio dicloridrato de levocetirizina,diazepam,"Levocetirizina Não há estudos de interação com a levocetirizina, e resultados de estudos demonstraram que não houve interações medicamentosas clinicamente relevantes com uso concomitante do composto racêmico de cetirizina com pseudoefedrina, antipirina, cimetidina, cetoconazol, eritromicina, azitromicina, glipizida e diazepam.",0,fonte1,manual,1.0
ibuprofeno,insulina,"O uso concomitante de qualquer AINE com os seguintes fármacos deve ser evitado, especialmente nos casos de administração crônica: ácido acetilsalicílico, paracetamol, colchicina, iodetos, medicamen tos fotossensibilizantes, outros anti -inflamatórios não esteroides, corticosteroides, corticotrofina, uroquinase, hipoglicemiantes orais ou insulina, anti -hipertensivos e diuréticos, ácido valpr oico, plicamicina, sais de ouro, ciclosporina, lítio, probenec ida, inibidores da ECA, agentes anticoagulantes ou trombolíticos, inibidores de agregação plaquetária, cardiotônicos digitálicos, digoxina e metotrexato.",2,fonte1,manual,1.0
hemitartarato de zolpidem,ranitidina,"Outros medicamentos Quando o hemitartarato de zolpidem foi administrado junto com varfarina, digoxina, ranitidina ou cimetidina, nenhuma interaçã o farmacocinética foi observada.",0,fonte1,manual,1.0
fosfato de sitagliptina,metformina,"Avaliação In Vivo de Interações Medicam entosas Efeito da Sitagliptina sobre Outros Fá rmaco s Nos e studos clínicos, como se descreve a seguir, a sitagliptina não alterou significativamente a farmacocinética da metformina, da glibenclamida, da sinvastatina, da rosiglitazona, da varfarina ou dos an ticoncepcionais orais, fornecendo evidências i n viv o de ba ixa propensão a causar interações medicamentosas com substratos do citocromo P450 3A4, citocromo P450 2C8, citocromo P450 2C9 e do transportador orgânico catiônico (TOC).",0,fonte1,manual,1.0
cronobe complex,metotrexato,"Produtos contendo salicilatos, cloranfenicol, colchicina, isoniazida, aminoglicosídios, sulfametoxazol, metotrexato, eritromicina, anticonvulsionantes e suplementos de potássio, podem diminuir a absorção da vitamina B12. 7.",1,fonte1,manual,1.0
clopido gran,nifedipino,Não foram observadas interações clinicamente importantes quando o clopidogrel foi usado em associação com o ou com o ou ainda o clopidogrel usado junto com o atenolol e o nifedipino.,0,fonte2,automatica,0.85
cloridrato de donepezila,cimetidina,"O cloridrato de donepezila e seus metabólit os não inibem o metabolis mo da teofilina, varfarina, cimetidina, digoxina, tioridazina, risperidona e sertralina em humanos.",0,fonte1,manual,1.0
olanzapina zydus nikkho,olanzapina,O hábito de fumar pode interferir no tratamento com olanzapina.,1,fonte2,automatica,0.65
everolimo,itraconazol,"Interação com fortes inibidores, indutores da CYP3A4 Não é recomendada a coadministração com fortes inibidores da CYP3A4 (por exemplo, cetoconazol, itraconazol, voriconazol, claritromicina, telitromicina, ritonavir) e indutores (por exe mplo, rifampicina, rifabutina , erva de São João, carbamazepina, fenitoína ) a menos que os benefícios superem os possíveis riscos.",2,fonte1,manual,1.0
genfibrozila ems,colchicina,O risco de toxicidade neuromuscular (dano ao tecido nervoso e músculos) e rabdomiólise (destruição das células musculares) pode ser aumentado com a administração concomitante de colchicina e genfibrozila.,2,fonte2,automatica,0.8
sinvastatina,itraconazol,"O uso concomitante de medicamentos conhecidos por apresentarem um potent e efeito inibitório sobre a CYP3A4 (por exemplo, itraconazol, cetoconazol, posaconazol, voriconazol, eritromicina, claritromicina, telitromicina, inibidores da protease do HIV, boceprevir, telaprevir, nefazodona e medicamentos contendo cobicistate) é contr aindicado (veja os itens 4.",2,fonte1,manual,1.0
unimedrol,diltiazem,"O uso com anticonvulsivantes ( ), anticolinérgicos (substâncias antagonistas da ação de fibras nervosas parassimpáticas que liberam acetilcolina), anticolinesterásicos (drogas que inibem a ação da enzima colinesterase), antidiabéticos, antieméticos, antifúngicos, antivirais (inibidores da HIV-protease), inibidor da aromatase (droga usada no tratamento do câncer de mama e ovário), bloqueadores dos canais de cálcio (diltiazem), contraceptivos orais (etinilestradiol, noretindrona), imunossupressores ( ), antibióticos da classe dos macrolídeos (troleandomicina), anti-inflamatórios não esteroidais (ácido acetilsalicílico) e agentes depletores de potássio (drogas que aumentam a perda de potássio, como por exemplo, ) pode aumentar ou diminuir a quantidade de succinato sódico de metilprednisolona no sangue, o que poderá resultar em alteração na posologia do medicamento, conforme critério médico.",1,fonte2,automatica,0.65
cloridrato de donepezila,varfarina,"O cloridrato de donepezila e seus metabólito s não inibem o metabolis mo da teofilina, varfarina, cimetidina, digoxina, tioridazina, risperidona e sertralina em humanos.",0,fonte1,manual,1.0
besilato de anlodipino,digoxina,Estudos Especiais: Efeito do anlodipino sobre Outro s Agentes atorvastatina: a coadministração de doses múltiplas de 10 mg de an lodipino e 80 mg de atorvastatina não resultou em m udança significante nos parâmetros farmacocinéticos no est ado de equilíbrio ( steady state ) da atorvastatina. digoxina: a coadministração de anlodipino e digoxina não alte rou os níveis séricos ou o clearance renal de digoxina nos voluntários sadios. etanol (Álcool): dose única e doses múltiplas de 10 mg de anlodipino não tiveram efeito significante na farmacocinética do etanol. varfarina: a coadministração de anlodipino com varfarina não a lterou o tempo de resposta de protrombina da varfar ina. ciclosporina: nenhum estudo de interação medicamentosa foi conduz ido com a ciclosporina e o anlodipino em voluntário s saudáveis ou outras populações com exceção dos paci entes com transplante renal.,0,fonte1,manual,1.0
pyloripac,sinvastatina,"É contraindicado o uso de claritromicina em conjunto com lovastatina ou sinvastatina, o que aumenta a concentração de claritromicina no sangue e aumenta o risco de miopatia (doença muscular), incluindo a rabdomiólise (necrose ou desintegração no músculo esquelético).",2,fonte2,automatica,0.9
zyvalprex,metotrexato,"Os prescritores devem monitorar a resposta clínica (controle da convulsão ou controle do humor) e considerar o monitoramento dos níveis séricos de valproato conforme apropriado. : Alguns relatos de casos descrevem uma diminuição significativa dos níveis séricos de valproato após a administração de metotrexato, com ocorrência de convulsões.",1,fonte2,automatica,0.75
effient,anticoagulantes,"Você deve informar ao seu médico todos os medicamentos que estiver usando. deve ser administrado com cautela em pacientes tomando os seguintes medicamentos: Varfarina (ou outros medicamentos anticoagulantes) e anti-inflamatórios não esteroidais. pode ser administrado concomitantemente com os seguintes medicamentos: Estatinas, ácido acetilsalicílico, heparina, e antiácidos.",1,fonte2,automatica,0.65
empagliflozina,varfarina,"A empagliflozina não teve efeito clinicamente relevante sobre a farmacocinética da glimepirida, pioglitazona, sitagliptina, varfarina, digoxina, ramipril, sinvastatina, hidroclorotiazida, torasemida e contraceptivos orais, quando coadministradas em voluntários sadios.",0,fonte1,manual,1.0
losartana potassica hidroclorotiazida,losartana,"INTERAÇÕES MEDICAMENTOSAS Losartana Losartana potássica_Hidroclorotiazida_bula_profissi onal 10 Não foram identificadas interações medicamentosas d e significado clínico com os seguintes compostos av aliados nos estudos de farmacocinética clínica: hidroclorotiazida, digoxin a, varfarina, cimetidina, fenobarbital (vide Hidroclorotiazida - Álcool, barbituratos ou narcóticos, a seguir), cetoconazol e eritromicina.",0,fonte1,manual,1.0
losartana potassica hidroclorotiazida,digoxina,"INTERAÇÕES MEDICAMENTOSAS Losartana Não foram identificadas interações medicamentosas de significado clínico com os seguintes compostos avaliados nos estudos de farmacocinética clínica: hidroclorotiazida, digoxina, varfarina, cimetidina, fenobarbital (veja Hidroclorotiazida, Álcool, Barbituratos ou Narcóticos , a seguir), cetoconazol e eritromicina.",0,fonte1,manual,1.0
fosfato de sitagliptina,varfarina,"Avaliação In Vivo de Interações Medicam entosas Efeito da Sitagliptina sobre Outros Fá rmaco s Nos e studos clínicos, como se descreve a seguir, a sitagliptina não alterou significativamente a farmacocinética da metformina, da glibenclamida, da sinvastatina, da rosiglitazona, da varfarina ou dos an ticoncepcionais orais, fornecendo evidências i n viv o de ba ixa propensão a causar interações medicamentosas com substratos do citocromo P450 3A4, citocromo P450 2C8, citocromo P450 2C9 e do transportador orgânico catiônico (TOC).",0,fonte1,manual,1.0
cabazitaxel,claritromicina,"INTERAÇÕES MEDICAMENTOSAS Medicamento -medicamento O metabolismo de cabazitaxel é modificado pela administração concomitante de substâncias conhecidas como fortes inibidores (ex: cetoconazol, itraconazol, claritromicina, atazanavir, indinavir, nefazodona, nelfinavir, ritonavir, saquinavir, telitromicina, voriconazol) ou fortes indutores (ex: rifampicina, carbamazepina ou fenitoína) da CYP3A.",1,fonte1,manual,1.0
claritromicina,varfarina,"São ex emplos, mas não se resume a: anticoagulantes orais (ex. varfarina, rivaroxabana, apixabana), antipsicóticos atípicos (ex. quetiapina, lurasidona) alcaloides do ergot, alprazolam, astemizol, carbamazepina, cilostazol, cisaprida, metilprednisolona, omeprazol , pimozida, quinidina, sildenafila, sinvastatina, terfenadina, triazolam, sirolimo, tacrolimo, lovastatina, disopiramida, midazolam, ciclosporina, hidroxicloroquina, cloroquina, vimblastina, rifabutina, ticagrelor, ivabradina e ranolazina.",2,fonte1,manual,1.0
levitra,eritromicina,"O uso de Levitra comprimido orodispersível é contraindicado para pacientes sob tratamento com cobicistate, eritromicina, cetoconazol, itraconazol, claritromicina, indinavir ou ritonavir.",2,fonte2,automatica,0.9
alprazolam,eritromicina,"Baseando -se no grau de interação e no tipo de dados disponíveis, recomenda -se o seguinte: - a coadministração de alprazol am com cetoconazol, itraconazol e outros antifúngicos azólicos não é recomendada; - recomenda -se cautela e consideração d a redução d e dose quando alprazolam é coadministrado com nefazodona, fluvoxamina e cimetidina; - também se recomenda cautela quando alp razolam é coadministrado com fluoxetina, propoxifeno , anticoncepcionais orais, diltiazem, ou antibióticos macrolídeos como eritromicina e troleandomicina; - as interações envolvendo inibidores da protease do vírus da imunodeficiência humana (HIV) (por exemplo, ritonavir) e alprazolam são complexas e dependentes do tempo.",2,fonte1,manual,1.0
pravacol,fibratos,"Um aumento do risco de eventos adversos relacionados com os músculos, incluindo rabdomiólise, têm sido relatados quando os fibratos são coadministrados com outras estatinas.",2,fonte2,automatica,0.8
telmisartana hidroclorotiazida,ibuprofeno,"A coadministração de telmisartana não resultou em interações clinicamente significativas com a varfarina, a hidroclorotiazida, a glibenclamida, o ibuprofeno, o paracetam ol, a sinvastatina e o anlodipino.",0,fonte1,manual,1.0
cloridrato de tansulosina,diazepam,"In vitro, nem diazepam, propranolol, triclormetiazida, clormadinona, amitriptilina, diclofenaco, glibenclamida ou sinvastatina e varfarina modificam a fração livre d e tansulosina no plasma humano.",0,fonte1,manual,1.0
rapamune,ciclosporina,Os pacientes que recebem Rapamune e ciclosporina e/ ou inibidores de H MG-CoA redutase e/ou fibratos devem ser monitorados quanto ao desenvolvimento de rabdomiólise (quebra das fibras musculares).,2,fonte2,automatica,0.8
dienogeste,eritromicina,"Inibi dores potentes e moderados do CYP3A4, tais como antifúngicos azólicos (por exemplo, itraconazol, voriconazol, fluconazol), verapamil, macrolídeos (por exemplo, claritromicina, eritromicina), diltiazem e suco de toranja (“grapefruit”) podem aumentar as conc entrações plasmáticas desta progestina.",1,fonte1,manual,1.0
glimepirida,probenecida,"Potencialização do efeito hipoglicemiante e, portanto, em alguns casos, pode ocorrer hipoglicemia quando um dos seguintes fárma cos é administrado: Insulina ou outro antidiabético oral; inibidores da ECA; esteroides anabolizantes e hormônios sexuais masculinos; cloranfenicol ; derivados cumarínicos; ciclofosfamidas; disopiramida; fenfluramina; feniramidol; fibratos; fluoxetina; guanetidina; ifosfamida; inibidore s da MAO; miconazol; fluconazol; ácido para-aminosalicílico; pentoxifilina (uso parenteral em doses elevadas); fenilbutazona; azapropazon a; oxifembutazona; probenecida; quinolonas; salicilatos; sulfimpirazona; claritomicina; antibióticos sulfonamídicos; tetraciclinas; tritoqualina; trofosfamida.",1,fonte1,manual,1.0
fluconazol,nifedipino,"Podem ser necessários ajustes da dose da carbamazepina dependendo de determin ações da concentração/efeito. bloqueadores do canal de cálcio: determinados antagonistas de canal de cálcio di -hidropiridínicos (nifedipino, isradipino, anlodipino, verapamil e felodipino) são metabolizados pela CYP3A4.",1,fonte1,manual,1.0
pantozol,digoxina,"Não há interação medicamentosa clinicamente importante de Pantozol com as seguintes substâncias testadas: Carbamazepina, cafeína, diazepam, diclofenaco, digoxina, etanol, glibenclamida, metoprolol, naproxeno, nifedipina, fenitoína, teofilina, piroxicam e contraceptivos orais contendo levonorgestrel e etinilestradiol.",0,fonte2,automatica,0.85
xolair,corticosteroides,"Solução injetável / Pó liofilizado Informe seu médico ou farmacêutico se você está tomando ou tomou recentemente qualquer outro medicamento, mesmo aqueles sem prescrição médica. pode ser usado junto com corticosteroides inalatórios e/ou intranasais e outros medicamentos para asma alérgica e/ou rinossinusite crônica com pólipos nasais, bem como com anti-histamínicos H1 e H2 e LTRAs (antagonistas do receptor de leucotrienos) para urticária crônica espontânea, mas mesmo assim é importante informar o seu médico que você está tomando estes medicamentos antes da administração de Xolair Informe ao seu médico ou cirurgião-dentista se você está fazendo uso de algum outro medicamento.",0,fonte2,automatica,0.85
pantoprazol sódico sesqui hidratado medley,digoxina,"Não há interação medicamentosa clinicamente importante com as seguintes substâncias testadas: Carbamazepina, cafeína, diazepam, diclofenaco, digoxina, etanol, glibenclamida, metoprolol, naproxeno, nifedipino, fenitoína, teofilina, piroxicam e contraceptivos orais contendo levonorgestrel e etinilestradiol.",0,fonte2,automatica,0.85
levitra,cetoconazol,Levitra não deve ser administrado com doses de cetoconazol ou itraconazol maiores que 200 mg.,2,fonte2,automatica,0.8
pantoprazol sodico sesqui-hidratado,carbamazepina,"Os estudos de interação com fármacos que também são metabolizados com estas vias, como a carbamazepina, diazepam, glibenclamida, nifedipino, fenitoína e um contraceptivo oral contendo levonorgestrel e etinilestradiol, não se observaram interações clínicas significativas.",0,fonte1,manual,1.0
sinvastatina,eritromicina,"ADVERTÊNCIAS E PRECAUÇÕES, Gravidez e Lactação ); • Administração concomitante de inibidores potentes do CYP3A4 (por exemplo, itraconazol, cetoconazol, posaconazol, voriconazol, inibidores da protease do HIV, boceprevir, telaprevir, eritromicina, claritromicina, telitromicina, nefazodona e medicamentos contendo cobicistate) (veja o item 5.",2,fonte1,manual,1.0
empagliflozina,hidroclorotiazida,"A empagliflozina não teve efeito clinicamente relevante sobre a farmacocinética da glimepirida, pioglitazona, sitagliptina, varfarina, digoxina, ramipril, sinvastatina, hidroclorotiazida, torasemida e contraceptivos orais, quando coadministradas em voluntários sadios.",0,fonte1,manual,1.0
cloridrato de moxifloxacino,probenecida,"INTERAÇÕES MEDICAMENTOSAS Para as seguintes substâncias foi comprovada a ausência de interação clinicamente relevante com cloridrato de moxifloxacino: atenolol, ranitidina, suplementos de cálcio, teofilina, ciclosporina, contraceptivos orais, glibenclamida, itraconazol, digoxina, m orfina, probenecida.",0,fonte1,manual,1.0
sinvastatina,cetoconazol,"ADVERTÊNCIAS E PRECAUÇÕES, Gravide z e Lactação ); • Administração concomitante de inibidores potentes do CYP3A4 (por exemplo, itraconazol, cetoconazol, posaconazol, voriconazol, inibidores de protease do HIV, boceprevir, telaprevir, eritromicina, claritromicina, telitromicina, nefazodona e medicamentos contendo cobicistate) (veja os itens 5.",2,fonte1,manual,1.0
claritromicina,omeprazol,"São ex emplos, mas não se resume a: anticoagulantes orais (ex. varfarina, rivaroxabana, apixabana), antipsicóticos atípicos (ex. quetiapina, lurasidona) alcaloides do ergot, alprazolam, astemizol, carbamazepina, cilostazol, cisaprida, metilprednisolona, omeprazol , pimozida, quinidina, sildenafila, sinvastatina, terfenadina, triazolam, sirolimo, tacrolimo, lovastatina, disopiramida, midazolam, ciclosporina, hidroxicloroquina, cloroquina, vimblastina, rifabutina, ticagrelor, ivabradina e ranolazina.",2,fonte1,manual,1.0
mecobe,aines,"INTERAÇÕES MEDICAMENTOSAS Antibióticos (penicilina, cefalexina, ciprofloxacina), metformina, óxido nitroso, colchicina e outros anti -inflamatórios não esteroidais – AINEs (ibuprofeno, ácido acetilsalicílico e sulfassalazina), diminuem a absorção dos análogos de vitamina B12 e induzem condição de má absorção reversível do micronutriente ao alterarem a função gastrointestinal.",1,fonte1,manual,1.0
hemitartarato de zolpidem,cimetidina,"Outros medicamentos Quando o hemitartarato de zolpidem foi administrado junto com varfarina, digoxina, ranitidina ou cimetidina, nenhuma interaçã o farmacocinética foi observada.",0,fonte1,manual,1.0
ramelteona,sertralina,"Outras informações relevantes de estudos de interação medicamentosa: Os estudos de interação da administração concomitante de ramelteona com fluoxetina (inibidor da CYP2D6), omeprazol (indutor da CYP1A2/inibidor da CYP2C19), teofilina (substrato da CYP1A2), dextrometorfano (substrato da CYP2D6), sertralina, venlafaxina, escitalopram, gabapentina, lorazepam e zolpidem não produziram alterações clinicamente significativas nas exposições máxima e total à ramelteona ou ao metabólito M -II.",0,fonte1,manual,1.0
besilato de anlodipino losartana potassica,fluconazol,"Efeito de interação: aumento da concentração sérica de anlodipino e toxicidade (tontura, hipotensão, rubor, cefaleia , edema periférico) Medicamento: fluconazol, cetoconazol, itraconazol Efeito de interação: aumento da concentração sérica dos bloqueadores dos canais de cálcio.",1,fonte1,manual,1.0
atorvastatina calcica,fibratos,"INTERAÇÕES MEDICAMENTOSAS O risco de miopatia durante o tratamento com inib idores da HMG-CoA redutase se apresenta aumentado com a administração concomitante de ciclosporina, fibratos, niacina em do ses que alteram o perfil lipídico ou inibidores de citocromo P450 3A4/ transportadores, (por exemplo, eritromicina e antifúngicos azólicos) (vide “POSOLOGIA E MODO DE USAR: Uso combinado com outros medicamentos” e “Advertências e Precauções: Efeitos na Musculatura Esquelética”).",1,fonte1,manual,1.0
cloridrato de lercanidipino,itraconazol,"A coadministração do lercanidipino com inibidores do CYP3A4 deve ser evitada (por exemplo, o cetoconazol, itraconazol, ritonavir, eritromicina, troleandomicina, claritromicina) (vide “Contraindicações”). ciclosporina A ciclosporina e o lercanidipino não devem ser administrados juntamente (vide “Contraindicações”).",2,fonte1,manual,1.0
lamotrigina,olanzapina,"Tabela 1: Efeito de drogas na concentração da lamotrigina (ver Posologia e Modo de Usar): Drogas que aumentam a concentração da lamotrigina Drogas que reduzem a concentração da lamotrigina Drogas que têm pouco ou nenhum efeito na concentração da lamo trigina Valproato carbamazepina lítio fenitoína bupropiona primidona olanzapina fenobarbitona oxcarbazepina rifampicina felbamato lopinavir/ritonavir gabapentina atazanavir/ritonavir* levetiracetam Associação de etinilestradiol/levonorgestrel** pregabalina topiramato zonisamida aripiprazol lacosamida perampanel paracetamol *Para orientações de dosagem, ver Posologia e Modo de Usar – Recomendações gerais para populações de pacientes especiais, adicionalmente para mulheres tomando contraceptivos orais ver também Advertências e Precauções – Contraceptivos hormonais.",1,fonte1,manual,1.0
zitromil,cimetidina,"Foi realizado um estudo de farmacocinética para avaliar os efeitos de dose única de cimetidina administrada duas horas antes da Azitromicina Di-Hidratada, neste estudo não foram observadas quaisquer alterações na farmacocinética da Azitromicina Di-Hidratada. orais do tipo cumarínicos Em um estudo de interação farmacocinética, a Azitromicina Di-Hidratada não alterou o efeito anticoagulante de uma dose única de 15 mg de varfarina, quando administrada a voluntários sadios.",0,fonte2,automatica,0.85
