medicamento_alvo,medicamento_outro,contexto,classe,fonte,origem,confianca
barbitron,fenobarbital,"Associações que necessitam de precauções, monitoramento clínico e/ou ajuste do medicamento durante e após a descontinuação com fenobarbital: Inibidor de protease (amprenavir, , nelfinavir);",1,fonte2,automatica,0.65
bart h,varfarina,"A irbesartana é metabolizada principalmente pelo CYP2C9, no entanto, durante estudos de interação clínica não foram observadas interações farmacodinâmicas e farmacocinéticas significativas com o uso concomitante de irbesartana e varfarina (fármaco metabolizado pelo CYP2C9).",0,fonte2,automatica,0.85
bart h,hidroclorotiazida,O uso concomitante com hidroclorotiazida pode reduzir a frequência desse efeito.,1,fonte2,automatica,0.65
bart h,hidroclorotiazida,A administração concomitante de Bart H (irbesartana + hidroclorotiazida) e lítio deve ser feita com cautela e recomenda-se monitorização frequente dos níveis de lítio no sangue.,1,fonte2,automatica,0.65
bart h,hidroclorotiazida,"O componente tiazídico de Bart H (irbesartana + hidroclorotiazida) pode potencializar a ação de outros anti-hipertensivos, especialmente dos bloqueadores adrenérgicos periféricos ou ganglionares.",1,fonte2,automatica,0.65
bart h,hidroclorotiazida,"Os efeitos de relaxantes musculares não-despolarizantes, pré-anestésicos e anestésicos usados em (por exemplo, a tubocurarina) podem ser potencializados pela hidroclorotiazida; pode ser necessário o ajuste de dose.",1,fonte2,automatica,0.65
belfactrim,amiodarona,"Exemplos incluem (oncológico), amiodarona (usado em arritmias cardíacas), (usado em doenças de pele), , rosiglitazona e pioglitazona (usados em Interações farmacodinâmicas e interações de mecanismo indefinido A taxa de incidência e gravidade das reações adversas mielotóxicas e nefrotóxicas pode aumentar quando TMP-SMZ é administrado concomitantemente com outros medicamentos mielosupressores ou associados à disfunção renal , como análogos de nucleosídeos, tacrolimus, .",1,fonte2,automatica,0.65
belfactrim,metotrexato,"Devido aos efeitos poupadores de potássio de TMP-SMZ, cuidado deve ser tomado quando TMP-SMZ é administrado com outros agentes que aumentam o potássio sérico, tais como inibidores da enzima conversora da angiotensina e bloqueadores dos receptores da angiotensina, diuréticos poupadores de potássio e Interferência em exames de laboratório Belfactrim, especialmente o componente TMP, pode interferir na dosagem do metotrexato sérico, dependendo da técnica utilizada para medição do fármaco.",1,fonte2,automatica,0.65
benalet tsc,fluoxetina,"A administração concomitante de outras substâncias, incluindo o álcool, com efeitos supressores no SNC, como os antidepressivos (por exemplo, fluoxetina) e hipnóticos (por exemplo, ) pode levar à potencialização mútua.",1,fonte2,automatica,0.65
benalet tsc,fluoxetina,"A administração concomitante de medicações que inibem o sistema enzimático do citocromo P450 2D6 no fígado e, portanto, o metabolismo do Bromidrato de Dextrometorfano – tais como amiodarona, quinidina, fluoxetina, , paroxetina, propafenona, tioridazina, , berberina, bupropiona, cinacalcete, flecainida e terbinafina – pode aumentar a concentração do Bromidrato de Dextrometorfano.",1,fonte2,automatica,0.65
benalet tsc,amiodarona,"A administração concomitante de medicações que inibem o sistema enzimático do citocromo P450 2D6 no fígado e, portanto, o metabolismo do Bromidrato de Dextrometorfano – tais como amiodarona, quinidina, fluoxetina, , paroxetina, propafenona, tioridazina, , berberina, bupropiona, cinacalcete, flecainida e terbinafina – pode aumentar a concentração do Bromidrato de Dextrometorfano.",1,fonte2,automatica,0.65
benectrin,amiodarona,"Exemplos incluem (oncológico), amiodarona (usado em arritmias cardíacas), (usado em doenças de pele), , rosiglitazona e pioglitazona (usados em Interações farmacodinâmicas e interações de mecanismo indefinido A taxa de incidência e gravidade das reações adversas mielotóxicas e nefrotóxicas pode aumentar quando TMP-SMZ é administrado concomitantemente com outros medicamentos mielossupressores ou associados à disfunção renal , como análogos de nucleosídeos, tacrolimus, .",1,fonte2,automatica,0.65
benectrin,metotrexato,"Devido aos efeitos poupadores de potássio de TMP e SMZ, cuidado deve ser tomado quando TMP e SMZ é administrado com outros agentes que aumentam o potássio sérico, tais como inibidores da enzima conversora da angiotensina e bloqueadores dos receptores da angiotensina, diuréticos poupadores de potássio e Interferência em exames de laboratório , especialmente o componente TMP, pode interferir na dosagem do metotrexato sérico, dependendo da técnica utilizada para medição do fármaco.",1,fonte2,automatica,0.65
benegrip,dipirona,"Interação medicamento-substância química Este medicamento, por conter dipirona, não deve ser ingerido com bebidas alcoólicas, porque o efeito do álcool pode ser potencializado.",1,fonte2,automatica,0.65
beserol,paracetamol,"Interações medicamentosas relacionadas ao paracetamol Interação Medicamento- Medicamento Gravidade: Moderada Medicamentos como a , diflunisal e em associação com o paracetamol apresentam risco de hepatotoxicidade e neutropenia, assim como a também pode apresentar risco aumentado de hepatoxicidade e diminuição de eficácia do paracetamol.",2,fonte2,automatica,0.8
beserol,varfarina,"A associação com varfarina pode causar risco de sangramento, assim como o acenocumarol pode ter seu efeito anticoagulante potencializado.",1,fonte2,automatica,0.65
beserol,acenocumarol,"A associação com varfarina pode causar risco de sangramento, assim como o acenocumarol pode ter seu efeito anticoagulante potencializado.",1,fonte2,automatica,0.65
besilato de anlodipino biolab genéricos,anlodipino,O anlodipino deve ser usado com cautela quando administrado com inibidores de CYP3A4.,1,fonte2,automatica,0.65
besilato de anlodipino biolab genéricos,claritromicina,Recomenda-se observação atenta de pacientes quando o anlodipino for coadministrado com claritromicina.,1,fonte2,automatica,0.65
besilato de anlodipino biolab genéricos,anlodipino,Recomenda-se observação atenta de pacientes quando o anlodipino for coadministrado com claritromicina.,1,fonte2,automatica,0.65
besilato de anlodipino biolab genéricos,ciclosporina,Deve-se considerar o monitoramento dos níveis de ciclosporina em pacientes com transplante renal que recebem anlodipino.,1,fonte2,automatica,0.65
besilato de anlodipino biolab genéricos,anlodipino,Deve-se considerar o monitoramento dos níveis de ciclosporina em pacientes com transplante renal que recebem anlodipino.,1,fonte2,automatica,0.65
besilato de anlodipino biolab genéricos,anlodipino,"A fim de evitar a toxicidade do tacrolimo, a administração do anlodipino em um paciente tratado com tacrolimo exige monitoramento dos níveis de tacrolimo no sangue e ajuste da dose do tacrolimo, quando apropriado.",1,fonte2,automatica,0.65
besilato de anlodipino biolab genéricos,anlodipino,"Com a utilização concomitante de inibidores de mTOR, o anlodipino pode aumentar a exposição dos inibidores de mTOR.",1,fonte2,automatica,0.65
besilato de anlodipino biosintética aché,anlodipino,A administração de besilato de anlodipino em associação com medicamentos inibidores (por ex: ) ou indutores (por ex: Hypericum perforatum ) de CYP3A4 (enzima envolvida no metabolismo de algumas substâncias) deve ser feita com cautela e sob monitoramento médico.,1,fonte2,automatica,0.65
besilato de anlodipino biosintética aché,anlodipino,Deve-se considerar o monitoramento dos níveis de em pacientes com transplante renal que recebem anlodipino.,1,fonte2,automatica,0.65
besilato de anlodipino biosintética aché,anlodipino,"A fim de evitar a toxicidade do tacrolimo, a administração de besilato de anlodipino em um paciente tratado com tacrolimo exige monitoramento dos níveis de tacrolimo no sangue e ajuste da dose do tacrolimo, quando apropriado.",1,fonte2,automatica,0.65
besilato de anlodipino biosintética aché,anlodipino,"Com a utilização concomitante de inibidores de mTOR, o besilato de anlodipino pode aumentar a exposição dos inibidores de mTOR.",1,fonte2,automatica,0.65
besilato de anlodipino nova química,anlodipino,Deve-se considerar o monitoramento dos níveis de em pacientes com transplante renal que recebem anlodipino.,1,fonte2,automatica,0.65
besilato de anlodipino nova química,anlodipino,"A fim de evitar a toxicidade do tacrolimo, a administração de besilato de anlodipino em um paciente tratado com tacrolimo exige monitoramento dos níveis de tacrolimo no sangue e ajuste da dose do tacrolimo, quando apropriado.",1,fonte2,automatica,0.65
besilato de anlodipino nova química,anlodipino,"Com a utilização concomitante de inibidores de mTOR, o besilato de anlodipino pode aumentar a exposição dos inibidores de mTOR.",1,fonte2,automatica,0.65
besilato de anlodipino ranbaxy,anlodipino,Deve-se considerar o monitoramento dos níveis de em pacientes com transplante renal que recebem anlodipino.,1,fonte2,automatica,0.65
besilato de anlodipino ranbaxy,anlodipino,"A fim de evitar a toxicidade do tacrolimo, a administração de besilato de anlodipino em um paciente tratado com tacrolimo exige monitoramento dos níveis de tacrolimo no sangue e ajuste da dose do tacrolimo, quando apropriado.",1,fonte2,automatica,0.65
besilato de anlodipino ranbaxy,anlodipino,"Com a utilização concomitante de inibidores de mTOR, o besilato de anlodipino pode aumentar a exposição dos inibidores de mTOR.",1,fonte2,automatica,0.65
besilato de anlodipino sandoz,anlodipino,Deve-se considerar o monitoramento dos níveis de em pacientes com transplante renal que recebem anlodipino.,1,fonte2,automatica,0.65
besilato de anlodipino sandoz,anlodipino,"A fm de evitar a toxicidade do tacrolimo, a administração de Besilato de Anlodipino em um paciente tratado com tacrolimo exige monitoramento dos níveis de tacrolimo no sangue e ajuste da dose do tacrolimo, quando apropriado.",1,fonte2,automatica,0.65
besilato de anlodipino sandoz,anlodipino,"Com a utilização concomitante de inibidores de mTOR, o Besilato de Anlodipino pode aumentar a exposição dos inibidores de mTOR.",1,fonte2,automatica,0.65
besilato de anlodipino zydus nikkho,anlodipino,Deve-se considerar o monitoramento dos níveis de em pacientes com transplante renal que recebem anlodipino.,1,fonte2,automatica,0.65
byetta,varfarina,"Byetta deve ser administrado com cautela se você estiver sob tratamento com os medicamentos: , varfarina, e anticoncepcionais orais.",1,fonte2,automatica,0.65
calcort,corticosteroides,"O tratamento concomitante com inibidores da CYP3A (enzima importante para metabolizar alguns medicamentos), incluindo produtos que contenham cobicistate, pode aumentar o risco de eventos adversos sistêmicos dos corticosteroides.",1,fonte2,automatica,0.65
camptosar,cetoconazol,O cetoconazol deve ser descontinuado pelo menos 1 semana antes de iniciar o tratamento com Camptosar e não deve ser administrado durante a terapia com Camptosar Sulfato de atazanavir Tem o potencial de aumentar a exposição sistêmica ao SN-38 o metabólito ativo do Camptosar .,2,fonte2,automatica,0.8
capoten,captopril,"Em pacientes idosos com depleção de volume (incluindo aqueles em tratamento com diuréticos), ou com comprometimento da função renal, a administração concomitante de antiinflamatórios não esteroidais, incluindo inibidores seletivos de COX-2, com inibidores da ECA, incluindo o captopril, pode resultar na deterioração da função renal, incluindo possível insuficiência renal aguda .",2,fonte2,automatica,0.8
carduran xl,varfarina,"Deve-se ter cautela quando Carduran XL for administrado concomitantemente com um forte inibidor do CYP 3A4, tal como , nefazodona, nelfinavir, , saquinavir, telitromicina ou in vitro (estudos de laboratório) indicam que Carduran XL não apresenta efeito sobre a ligação proteica da , varfarina, fenitoína ou .",1,fonte2,automatica,0.65
cizax,verapamil,"Recomenda-se cautela em casos de administração concomitante de Cizax e inibidores da recaptação de serotonina, antidepressivos tricíclicos, buspirona, meperidina, tramadol, bupropiona e verapamil, pelo potencial de ocorrência de Síndrome serotoninérgica.",1,fonte2,automatica,0.65
cizax,tramadol,"Recomenda-se cautela em casos de administração concomitante de Cizax e inibidores da recaptação de serotonina, antidepressivos tricíclicos, buspirona, meperidina, tramadol, bupropiona e verapamil, pelo potencial de ocorrência de Síndrome serotoninérgica.",1,fonte2,automatica,0.65
clopido gran,varfarina,Anticoagulante oral Devido ao risco aumentado de sangramento o uso em associação de varfarina e clopidogrel necessita ser avaliado com cautela.,1,fonte2,automatica,0.65
clopido gran,aines,Anti-inflamatórios não esteroidais - AINEs (medicamentos que tratam as inflamações) O uso de AINEs e clopidogrel em associação deve ser feito com cautela.,1,fonte2,automatica,0.65
clopido gran,nifedipino,Não foram observadas interações clinicamente importantes quando o clopidogrel foi usado em associação com o ou com o ou ainda o clopidogrel usado junto com o atenolol e o nifedipino.,0,fonte2,automatica,0.85
clorana,metformina,A metformina deve ser utilizada com precaução devido ao risco de acidose láctica induzida por uma possível insuficiência renal funcional associada à hidroclorotiazida.,1,fonte2,automatica,0.65
clorana,hidroclorotiazida,A metformina deve ser utilizada com precaução devido ao risco de acidose láctica induzida por uma possível insuficiência renal funcional associada à hidroclorotiazida.,1,fonte2,automatica,0.65
clorana,hidroclorotiazida,"Medicamentos afetados por distúrbios do potássio sérico: Recomenda-se a monitorização periódica do potássio sérico e um ECG quando a hidroclorotiazida é administrada concomitantemente com medicamentos afetados pelo nível sérico de potássio (por exemplo, glicosídeos digitálicos e antiarrítmicos) e com os seguintes medicamentos indutores de torsades de pointes (incluindo alguns antiarrítmicos): Antiarrítmicos classe Ia (por exemplo, quinidina, hidroquinidina, disopiramida);",1,fonte2,automatica,0.65
clorana,alopurinol,A coadministração de tiazidas pode aumentar a incidência de reações de hipersensibilidade ao alopurinol.,1,fonte2,automatica,0.65
clorana,hidroclorotiazida,"Salicilatos, AINEs: Em caso de doses elevadas de salicilatos, a hidroclorotiazida pode aumentar o efeito tóxico dos salicilatos no sistema nervoso central.",1,fonte2,automatica,0.65
clorana,aines,"Salicilatos, AINEs: Em caso de doses elevadas de salicilatos, a hidroclorotiazida pode aumentar o efeito tóxico dos salicilatos no sistema nervoso central.",1,fonte2,automatica,0.65
clorana,ciclosporina,Os AINEs podem diminuir o efeito anti-hipertensivo da hidroclorotiazida. : Houve relatos isolados de anemia hemolítica ocorrendo com o uso concomitante de hidroclorotiazida e metildopa. : O tratamento concomitante com ciclosporina pode aumentar o risco de hiperuricemia e complicações do tipo gota.,1,fonte2,automatica,0.65
clorana,hidroclorotiazida,Os AINEs podem diminuir o efeito anti-hipertensivo da hidroclorotiazida. : Houve relatos isolados de anemia hemolítica ocorrendo com o uso concomitante de hidroclorotiazida e metildopa. : O tratamento concomitante com ciclosporina pode aumentar o risco de hiperuricemia e complicações do tipo gota.,1,fonte2,automatica,0.65
clorana,aines,Os AINEs podem diminuir o efeito anti-hipertensivo da hidroclorotiazida. : Houve relatos isolados de anemia hemolítica ocorrendo com o uso concomitante de hidroclorotiazida e metildopa. : O tratamento concomitante com ciclosporina pode aumentar o risco de hiperuricemia e complicações do tipo gota.,1,fonte2,automatica,0.65
clorana,anticoagulantes,Monitoramento clínico e biológico é necessário. orais: As tiazidas podem antagonizar o efeito dos anticoagulantes orais.,1,fonte2,automatica,0.65
clorana,hidroclorotiazida,"Betabloqueadores, diazóxido: O uso concomitante de diuréticos tiazídicos, incluindo hidroclorotiazida, com betabloqueadores ou diazóxido, pode aumentar o risco de hiperglicemia.",1,fonte2,automatica,0.65
co renitec,hidroclorotiazida,"Se o uso concomitante de Maleato de Enalapril + Hidroclorotiazida com qualquer um dos agentes mencionados acima for considerado apropriado, deverá ser feito com cautela e com monitoramento frequente dos níveis séricos de potássio.",1,fonte2,automatica,0.65
co renitec,enalapril,"Se o uso concomitante de Maleato de Enalapril + Hidroclorotiazida com qualquer um dos agentes mencionados acima for considerado apropriado, deverá ser feito com cautela e com monitoramento frequente dos níveis séricos de potássio.",1,fonte2,automatica,0.65
co renitec,hidroclorotiazida,"Deve se monitorar atentamente a pressão sanguínea, a função renal e os eletrólitos em pacientes tratados com Maleato de Enalapril + Hidroclorotiazida e outros agentes que afetem o sistema renina-angiotensina-aldosterona.",1,fonte2,automatica,0.75
co renitec,enalapril,"Deve se monitorar atentamente a pressão sanguínea, a função renal e os eletrólitos em pacientes tratados com Maleato de Enalapril + Hidroclorotiazida e outros agentes que afetem o sistema renina-angiotensina-aldosterona.",1,fonte2,automatica,0.75
concor,aines,"Medicamentos anti-inflamatórios não esteroidais (AINEs), utilizados para tratar , dor ou inflamação (tais como , medicamento usado para tratar reações alérgicas graves com risco de vida e paradas cardíacas;",2,fonte2,automatica,0.8
cortisonal injetável,corticosteroides,"Ácido acetilsalicílico e salicilatos Corticosteroides podem aumentar a depuração do ácido acetilsalicílico, portanto o ácido acetilsalicílico deve ser usado com cautela em associação com corticosteroide nos casos de hipoprotrombinemia.",1,fonte2,automatica,0.65
cortisonal injetável,insulina,"Antidiabéticos orais e insulina Pode aumentar a concentração de sanguínea, portanto se necessário deve-se reajustar a posologia do hipoglicemiante.",1,fonte2,automatica,0.65
coumadin,varfarina,"A atividade da varfarina pode ser potencializada por esteroides anabólicos (como: etilestranol, metandrostenolona, noretrandolona), amiodarona, amitriptilina/nortriptilina, azapropazona, , benzafibrato, cefamandol, cloranfenicol, hidrato de coral, cimetidina, ciprofloxacino, clofibrato, cotrimoxazol, danazol, destropropoxifeno, destrotiroxina, dipiridamol, eritromicina, neomicina, feprazona, fluconazol, glucagon, metronidazol, miconazol, oxifenilbutazona, fenformina, fenilbutazona, feniramidol, quinidina, salicilatos, tolbutamida, sulfonamidas (ex: sulfafenazol, sulfinpirazona), tamoxifeno, triclofos, diflunisal, , indometacina, ácido mefenâmico, piroxicam, sulindaco e, possivelmente, outros analgésicos anti-inflamatórios, cetoconazol, ácido nalidíxico, norfloxacino, tetraciclinas e outros antibióticos de largo espectro, alopurinol, dissulfiram, metilfenidato, paracetamol, fármacos para tratamento de disfunções da tireoide e qualquer fármaco potencialmente tóxico ao fígado.",1,fonte2,automatica,0.65
coumadin,alopurinol,"A atividade da varfarina pode ser potencializada por esteroides anabólicos (como: etilestranol, metandrostenolona, noretrandolona), amiodarona, amitriptilina/nortriptilina, azapropazona, , benzafibrato, cefamandol, cloranfenicol, hidrato de coral, cimetidina, ciprofloxacino, clofibrato, cotrimoxazol, danazol, destropropoxifeno, destrotiroxina, dipiridamol, eritromicina, neomicina, feprazona, fluconazol, glucagon, metronidazol, miconazol, oxifenilbutazona, fenformina, fenilbutazona, feniramidol, quinidina, salicilatos, tolbutamida, sulfonamidas (ex: sulfafenazol, sulfinpirazona), tamoxifeno, triclofos, diflunisal, , indometacina, ácido mefenâmico, piroxicam, sulindaco e, possivelmente, outros analgésicos anti-inflamatórios, cetoconazol, ácido nalidíxico, norfloxacino, tetraciclinas e outros antibióticos de largo espectro, alopurinol, dissulfiram, metilfenidato, paracetamol, fármacos para tratamento de disfunções da tireoide e qualquer fármaco potencialmente tóxico ao fígado.",1,fonte2,automatica,0.65
coumadin,eritromicina,"A atividade da varfarina pode ser potencializada por esteroides anabólicos (como: etilestranol, metandrostenolona, noretrandolona), amiodarona, amitriptilina/nortriptilina, azapropazona, , benzafibrato, cefamandol, cloranfenicol, hidrato de coral, cimetidina, ciprofloxacino, clofibrato, cotrimoxazol, danazol, destropropoxifeno, destrotiroxina, dipiridamol, eritromicina, neomicina, feprazona, fluconazol, glucagon, metronidazol, miconazol, oxifenilbutazona, fenformina, fenilbutazona, feniramidol, quinidina, salicilatos, tolbutamida, sulfonamidas (ex: sulfafenazol, sulfinpirazona), tamoxifeno, triclofos, diflunisal, , indometacina, ácido mefenâmico, piroxicam, sulindaco e, possivelmente, outros analgésicos anti-inflamatórios, cetoconazol, ácido nalidíxico, norfloxacino, tetraciclinas e outros antibióticos de largo espectro, alopurinol, dissulfiram, metilfenidato, paracetamol, fármacos para tratamento de disfunções da tireoide e qualquer fármaco potencialmente tóxico ao fígado.",1,fonte2,automatica,0.65
coumadin,paracetamol,"A atividade da varfarina pode ser potencializada por esteroides anabólicos (como: etilestranol, metandrostenolona, noretrandolona), amiodarona, amitriptilina/nortriptilina, azapropazona, , benzafibrato, cefamandol, cloranfenicol, hidrato de coral, cimetidina, ciprofloxacino, clofibrato, cotrimoxazol, danazol, destropropoxifeno, destrotiroxina, dipiridamol, eritromicina, neomicina, feprazona, fluconazol, glucagon, metronidazol, miconazol, oxifenilbutazona, fenformina, fenilbutazona, feniramidol, quinidina, salicilatos, tolbutamida, sulfonamidas (ex: sulfafenazol, sulfinpirazona), tamoxifeno, triclofos, diflunisal, , indometacina, ácido mefenâmico, piroxicam, sulindaco e, possivelmente, outros analgésicos anti-inflamatórios, cetoconazol, ácido nalidíxico, norfloxacino, tetraciclinas e outros antibióticos de largo espectro, alopurinol, dissulfiram, metilfenidato, paracetamol, fármacos para tratamento de disfunções da tireoide e qualquer fármaco potencialmente tóxico ao fígado.",1,fonte2,automatica,0.65
coumadin,cetoconazol,"A atividade da varfarina pode ser potencializada por esteroides anabólicos (como: etilestranol, metandrostenolona, noretrandolona), amiodarona, amitriptilina/nortriptilina, azapropazona, , benzafibrato, cefamandol, cloranfenicol, hidrato de coral, cimetidina, ciprofloxacino, clofibrato, cotrimoxazol, danazol, destropropoxifeno, destrotiroxina, dipiridamol, eritromicina, neomicina, feprazona, fluconazol, glucagon, metronidazol, miconazol, oxifenilbutazona, fenformina, fenilbutazona, feniramidol, quinidina, salicilatos, tolbutamida, sulfonamidas (ex: sulfafenazol, sulfinpirazona), tamoxifeno, triclofos, diflunisal, , indometacina, ácido mefenâmico, piroxicam, sulindaco e, possivelmente, outros analgésicos anti-inflamatórios, cetoconazol, ácido nalidíxico, norfloxacino, tetraciclinas e outros antibióticos de largo espectro, alopurinol, dissulfiram, metilfenidato, paracetamol, fármacos para tratamento de disfunções da tireoide e qualquer fármaco potencialmente tóxico ao fígado.",1,fonte2,automatica,0.65
coumadin,varfarina,"Mulheres em uso de varfarina devem consultar o médico antes do uso concomitante de creme vaginal ou supositório de miconazol, pois pode haver potencialização do efeito anticoagulante.",1,fonte2,automatica,0.65
coumadin,corticosteroides,"Tanto a potencialização quanto a inibição do efeito anticoagulante têm sido relatadas com fenitoína, ACTH e corticosteroides.",1,fonte2,automatica,0.65
daonil,fluoxetina,"Potencialização do efeito hipoglicemiante de Daonil, em alguns casos hipoglicemia, pode ocorrer quando se usa os seguintes medicamentos: Insulina e outros hipoglicemiantes orais, inibidores da ECA, esteróides anabolizantes e hormônios sexuais masculinos, , derivados cumarínicos, , disopiramida, fenfluramina, feniramidol, fibratos, fluoxetina, ifosfamidas, inibidores da MAO, , ácido paramino-salicílico, (uso parenteral em altas doses), fenilbutazona, azapropazone, oxifembutazona, probenicida, quinolonas, salicilatos, sulfimpirazona, sulfonamidas, agentes simpatolíticos tais como beta-bloqueadores, e guanetidina, , tetraciclina, tritoqualina e trofosfamida.",1,fonte2,automatica,0.65
daonil,insulina,"Potencialização do efeito hipoglicemiante de Daonil, em alguns casos hipoglicemia, pode ocorrer quando se usa os seguintes medicamentos: Insulina e outros hipoglicemiantes orais, inibidores da ECA, esteróides anabolizantes e hormônios sexuais masculinos, , derivados cumarínicos, , disopiramida, fenfluramina, feniramidol, fibratos, fluoxetina, ifosfamidas, inibidores da MAO, , ácido paramino-salicílico, (uso parenteral em altas doses), fenilbutazona, azapropazone, oxifembutazona, probenicida, quinolonas, salicilatos, sulfimpirazona, sulfonamidas, agentes simpatolíticos tais como beta-bloqueadores, e guanetidina, , tetraciclina, tritoqualina e trofosfamida.",1,fonte2,automatica,0.65
daonil,fibratos,"Potencialização do efeito hipoglicemiante de Daonil, em alguns casos hipoglicemia, pode ocorrer quando se usa os seguintes medicamentos: Insulina e outros hipoglicemiantes orais, inibidores da ECA, esteróides anabolizantes e hormônios sexuais masculinos, , derivados cumarínicos, , disopiramida, fenfluramina, feniramidol, fibratos, fluoxetina, ifosfamidas, inibidores da MAO, , ácido paramino-salicílico, (uso parenteral em altas doses), fenilbutazona, azapropazone, oxifembutazona, probenicida, quinolonas, salicilatos, sulfimpirazona, sulfonamidas, agentes simpatolíticos tais como beta-bloqueadores, e guanetidina, , tetraciclina, tritoqualina e trofosfamida.",1,fonte2,automatica,0.65
daonil,corticosteroides,"O enfraquecimento do efeito hipoglicemiante de Daonil e consequente elevação do nível de glicose podem ocorrer quando há o uso concomitante dos seguintes medicamentos: , barbitúricos, corticosteroides, diazóxido, (adrenalina) e outras medicações simpaticomiméticas, glucagon, laxativos (após uso prolongado), ácido nicotínico (em altas doses), estrogênio e progestágenos, fenotiazínicos, fenitoína, hormônios tireoidianos e Podem ocorrer potencialização ou redução de efeito de Daonil em pacientes fazendo uso concomitante de antagonistas do receptor H2, clonidina e reserpina.",1,fonte2,automatica,0.65
daonil,ciclosporina,"Portanto, recomenda-se o monitoramento e um ajuste na dose da ciclosporina quando estes medicamentos forem coadministrados.",1,fonte2,automatica,0.65
daunoblastina,verapamil,"Desta forma, com a administração concomitante de outras substâncias cardioativas (por ex.: bloqueadores dos canais de cálcio como o verapamil), é necessário um monitoramento especialmente cuidadoso da função cardíaca durante todo tratamento.",1,fonte2,automatica,0.65
depakene,metotrexato,"Os prescritores devem monitorar a resposta clínica (convulsão controle ou controle do humor) e considerar o monitoramento dos níveis séricos de valproato conforme apropriado; : Alguns relatos de casos descrevem uma diminuição significativa dos níveis séricos de valproato após a administração de metotrexato, com ocorrência de convulsões.",1,fonte2,automatica,0.75
