medicamento,secao,texto,classe_sugerida,confianca_heuristica,medicamentos_detectados,score_prioridade,classe_manual
dapagliflozina,INTERAÇÕES  MEDICAMENTOSAS,"Em estudos de interação conduzidos em indivíduos sadios, utilizando principalmente o desenho de dose única, a dapagliflozina não alterou significativamente a farmacocinética da metformina, pioglitazona, sitagliptina, glimepirida, hidroclorotiazida, bumetanida, valsartana, sinvastatina, digoxina (um substrato da gp -P) ou varfarina (a varfarina é um substrato do CYP 2C).",-1,-1.0,varfarina; metformina; sinvastatina; digoxina; hidroclorotiazida,15.0,0
risperidona,ADVERTÊNCIAS E PRECAUÇÕES,"No entanto, como o ritonavir é um inibidor forte de CYP3A4 e um inibidor fraco de CYP2D6, o ritonavir e inibidores de protease potenciali zados com ritonavir podem aumentar as concentrações da fração a ntipsicótica ativa da risperidona. - Betabloqueadores: Alguns betabloqueadores podem aumentar as concentrações plasmáticas da risperidona , mas não da fração antipsicótica ativa. - Bloqueadores de canal de cálcio: O verapamil, um inibidor moderado de CYP3 A4 e um inibidor de P-gp, aumenta a con centração plasmática de risperidona e da fração antipsicótica ativa. - Glicosídeos digitálicos: A risperidona não demonstra efeito clinicamen te significativo na farm acocinética da digoxina. - Diuréticos: Furosemida: veja no item “ADVERTÊN CIAS E PRECAUÇÕES” o aumento da mortalidade em pacientes idosos com demência que estão recebendo tratamento concomitante com furosemida. - Medicamentos gastrintestinais: Antagonistas de receptor H2: a cimetidina e a ranitidina, ambas inibidores fracos de CYP2D6 e CYP3A4, aumentaram a biodisponibi lidade da risperidona, mas apenas marginalmente aquela da fração antipsicótica ativa. - Lítio: A risperidona não demonstra efeito clinicam ente relevante sobre a farmacocinética do lítio. - Antidepressivos tricíclicos e inibidores seletivos da recaptação de serotonina: A fluoxetina, um inibidor forte da CYP2D6, aumenta a concentração plasmática da risper idona, mas menos da f ração antipsicótica ativa.",-1,-1.0,fluoxetina; digoxina; furosemida; verapamil; cimetidina,15.0,1
candesartana cilexetila,INTERAÇÕES MEDICAMENTOSAS,"As seguintes substâncias foram investigadas em estudos de farmacocinética clínica: hidroclorotiazida, varfarina, digoxina, contraceptivos orais (etinilestradiol/levonorgestrel), glibenclamida, nifedipino e enalapril.",-1,-1.0,varfarina; digoxina; glibenclamida; hidroclorotiazida; nifedipino,15.0,
cloridrato de donepezila,INTERAÇÕES MEDICAMENTOSAS,"O cloridrato de donepezila e seus metabólit os não inibem o metabolis mo da teofilina, varfarina, cimetidina, digoxina, tioridazina, risperidona e sertralina em humanos.",-1,-1.0,varfarina; sertralina; digoxina; risperidona; cimetidina,15.0,0
desogestrel,ADVERTÊNCIAS E PRECAUÇÕES,"A administração concomitante de inibidores fortes (por exemplo, cetoconazol, itraconazol, claritromicina) ou moderados (por exemplo, fluconazol, diltiazem, eritromicina) da CYP3A4 podem aumentar as concentrações séricas dos progestagênios, incluindo o etonogestrel, o metabólito ativo do desogestrel.",-1,-1.0,eritromicina; claritromicina; cetoconazol; fluconazol; itraconazol,15.0,1
losartana potassica hidroclorotiazida,INTERAÇÕES MEDICAMENTOSAS,"INTERAÇÕES MEDICAMENTOSAS Losartana Não foram identificadas interações medicamentosas de significado clínico com os seguintes compostos avaliados nos estudos de farmacocinética clínica: hidroclorotiazida, digoxina, varfarina, cimetidina, fenobarbital (veja Hidroclorotiazida, Álcool, Barbituratos ou Narcóticos , a seguir), cetoconazol e eritromicina.",-1,-1.0,varfarina; eritromicina; losartana; digoxina; cetoconazol,15.0,0
candesartana cilexetila hidroclorotiazida,INTERAÇÕES MEDICAMENTOSAS,"As substâncias que foram investigadas com candesartana cilexetila em est udos de farmacocinética clínica incluem: hidroclorotiazida, varfarina, digoxina, contraceptivos orais (etinile stradiol/levonorgestrel), glibenclamida e nifedipino.",-1,-1.0,varfarina; digoxina; glibenclamida; hidroclorotiazida; nifedipino,15.0,
losartana potássica,ADVERTÊNCIAS E PRECAUÇÕES,"INTERAÇÕES MEDICAMENTOSAS Nos estudos clínicos de farmacocinética realizados com hidroclorotiazida, digoxina, varfarina, cimetidina, fenobarbital, cetoconazol e eritromicina, não foram identificadas interações medicamentosas de importância clínica.",-1,-1.0,varfarina; eritromicina; digoxina; cetoconazol; fenobarbital,15.0,0
drospirenona etinilestradiol,INTERAÇÕES  MEDICAMENTOSAS,"Substâncias que diminuem a depuração dos COCs (inibidores enzimáticos) Inibidores potentes e moderados do CYP 3A4 tais como antifúngicos azólicos (como por exemplo, itraconazol, voriconazol, fluconazol), verapamil, antibióticos macrolídeos (como por exemplo, claritromicina, eritromicina), diltiaz em e suco de toronja (“grapefruit”) podem aumentar as concentrações plasmáticas do estrogênio ou progestógeno ou de ambos.",-1,-1.0,eritromicina; claritromicina; fluconazol; itraconazol; verapamil,15.0,1
besilato de anlodipino,INTERAÇÕES  MEDICAMENTOSAS,Estudos Especiais: Efeito do anlodipino sobre Outros Agentes atorvastatina: a coadministração de doses múltiplas de 10 mg de anlodipino e 80 mg de atorvastatina não resultou em mudança significante nos parâmetros farmacocinéticos no estado de equilíbrio (steady state ) da atorvastatina. digoxina: a coadministração de anlodipino e digoxina não alterou os níveis séricos ou o clearance renal de digoxina nos voluntários sadios. etanol (Álcool): dose única e doses múltiplas de 10 mg de anlodipino não tiveram efeito significante na farmacocinética do etanol. varfarina: a coadministração de anlodipino e com varfarina não alterou o tempo de resposta de protombina da varfarina. besilato de anlodipino 5 mg e 10 mg - comprimidos – VPS08 ciclosporina: nenhum estudo de interação medicamentosa foi conduzido com a ciclosporina e o anlodipino em voluntários saudáveis ou outras populações com exceção dos pacientes com transplante renal.,-1,-1.0,varfarina; ciclosporina; atorvastatina; digoxina; anlodipino,15.0,0
fosfato de sitagliptina,INTERAÇÕES MEDICAMENTOSAS,"Os medicamentos avaliados foram aqueles comumente administrados a pacientes com diabete s mel litus t ipo 2, inclusi ve agentes hipolipemiantes (por exemplo, vastatinas, fibratos, ezetimiba), agentes antiplaquetários (por exemplo, clopidogrel), anti -hipertensivos (por exemplo, inibidores da ECA, bloqueadores do receptor da angiotensina, betabloqueado res, bl oqueadores dos canais de cálcio, hidroclorotiazida), analgésicos e anti - inflamatórios não -esteroides (por exemplo, naproxeno, diclofenaco, celecoxibe), antidepre ssivos (por exemplo., bupropiona, fluoxetina, sertralina), anti -histamínicos (por exempl o, ceti rizina), inibi dores da bomba de prótons (por exemplo, omeprazol, lansoprazol) e medicamentos para disfunção erétil (por exemplo, sildenafila). 7.",-1,-1.0,omeprazol; fluoxetina; sertralina; hidroclorotiazida; fibratos,15.0,
fosfato de sitagliptina cloridrato de metformina,INTERAÇÕES MEDICAMENTOSAS,"Os medicamentos avaliados foram os que são comumente administrados a pacientes com diabetes mellitus tipo 2, incluindo agentes hipolipemiantes (por exemplo, estatinas, fibratos, ezetimiba), antiagregantes plaquetários (por exemplo, clopidogrel), anti -hipertensivos (por exemplo, inibidores da ECA, bloqueadores do receptor de angiotensina, betabloqueadores, bloqueadores do canal de cálcio, hidroclorotiazida), analgésicos e anti -inflamatórios não esteroidais (por exemplo, naproxeno, diclofenaco, celecoxibe), antidepressivos (por exemplo, bupropiona, fluoxetina, sertralina), anti- histamínicos (por exemplo, cetirizina), inibidores de bomba de próton (por exemplo, omeprazol, lansoprazol) e medicamentos para disfunção erétil (por exemplo, sildenafila).",-1,-1.0,omeprazol; fluoxetina; sertralina; hidroclorotiazida; fibratos,15.0,
lamotrigina,INTERAÇÕES MEDICAMENTOSAS,"Tabela 1: Efeito de drogas na concentração da lamotrigina (ver Posologia e Modo de Usar): Drogas que aumentam a concentração da lamotrigina Drogas que reduzem a concentração da lamotrigina Drogas que têm pouco ou nenhum efeito na concentração da lamotrigina carbamazepina lítio bupropiona olanzapina oxcarbazepina felbamato gapabentina levetiracetam pregabalina topiramato zonisamida aripripazol lacosamida perampanel paracetamol fenitoína primidona fenobarbitona valproato rifampicina lopinavir/ritonavi r atazanavir/ritonavir* Associação d e etinilestradiol/levonorgestrel* *Para orientações de dosagem, ver Posologia e Modo de Usar – Recomendações gerais para populações de pacientes especiais, adicionalmente para mulheres t omando contraceptivos orais ver t ambém Advertências e Precauçõe s – Contracepti vos hormonais.",-1,-1.0,paracetamol; carbamazepina; rifampicina; olanzapina; contraceptivos,15.0,1
besilato de anlodipino,INTERAÇÕES MEDICAMENTOSAS,Estudos Especiais: Efeito do anlodipino sobre Outro s Agentes atorvastatina: a coadministração de doses múltiplas de 10 mg de an lodipino e 80 mg de atorvastatina não resultou em m udança significante nos parâmetros farmacocinéticos no est ado de equilíbrio ( steady state ) da atorvastatina. digoxina: a coadministração de anlodipino e digoxina não alte rou os níveis séricos ou o clearance renal de digoxina nos voluntários sadios. etanol (Álcool): dose única e doses múltiplas de 10 mg de anlodipino não tiveram efeito significante na farmacocinética do etanol. varfarina: a coadministração de anlodipino com varfarina não a lterou o tempo de resposta de protrombina da varfar ina. ciclosporina: nenhum estudo de interação medicamentosa foi conduz ido com a ciclosporina e o anlodipino em voluntário s saudáveis ou outras populações com exceção dos paci entes com transplante renal.,-1,-1.0,varfarina; ciclosporina; atorvastatina; digoxina; anlodipino,15.0,0
cloridrato de donepezila,INTERAÇÕES MEDICAMENTOSAS,"O cloridrato de donepezila e seu s metabólitos não inibem o meta bolismo da teofilina, varfarina, cimetidina, digoxina, tioridaz ina, risperidona e sertralina em humanos.",-1,-1.0,varfarina; sertralina; digoxina; risperidona; cimetidina,15.0,0
pantoprazol,INTERAÇÕES MEDICAMENTOSAS,"Os estudos de interação com fármacos que também são metabolizados com estas vias, como a carbamazepina, diazepam, glibenclamida, nifedipino, fenitoina e um contraceptivo oral contendo levonorgestrel e etinilestradiol, não se observaram interações clínicas significativas.",-1,-1.0,diazepam; fenitoina; carbamazepina; glibenclamida; nifedipino,15.0,0
desogestrel,INTERAÇÕES MEDICAMENTOSAS,"Um método anticoncepcional de barreira deve ser utilizado em adição ao desogestrel durante a administração do medicamento indutor de enzimas hepáticas e por 28 dias após a descontinuação do medicamento indutor de enzimas hepáticas, para mulheres em tratamento prolongado com medicamentos indutores de enzimas , deve ser considerado o uso de um métodoanticonceptivo alternativo não afetado por medicamentos indutores de enzimas. desogestrel – VPS 06 A administração concomitante de inibidores fortes (por exemplo, cetoconazol, itraconazol, claritromicina) ou moderados (por exemplo, fluconazol, diltiazem, eritromicina) da CYP3A4 podem aumentar as concentrações séricas dos progestagênios, incluindo o etonogestrel, o metabólito ativo do desogestrel.",-1,-1.0,eritromicina; claritromicina; cetoconazol; fluconazol; itraconazol,15.0,1
atorvastatina cálcica,INTERAÇÕES MEDICAMENTOSAS,"INTERAÇÕES MEDICAMENTOSAS VPS8= atorvastatina cálcica _Bula_Profissional 15 O risco de mio patia durante o tratamento com inibidores da HMG -CoA redut ase se apresenta aumentado com a administração concomitante de ciclosporina, fibratos, niacina em doses que alteram o perfil lipídico ou inibidores do citocromo P450 3A4 /transportadores , (por exempl o, eritromicina e antifúngicos azólicos) (vide a seguir e nos itens 8.",-1,-1.0,ciclosporina; eritromicina; atorvastatina; niacina; fibratos,15.0,1
besilato de anlodipino,INTERAÇÕES MEDICAMENTOSAS,Estudos Especiais: Efeito do anlodipino sobre Outros Agentes atorvastatina: a coadministração de doses múltiplas de 10 mg de anlodipino e 80 mg de atorvastatina não resultou em mudança significante nos parâmetros farmacocinéticos no estado de equilíbrio (steady state ) da atorvastatina. digoxina: a coadministração de anlodipino e digoxina não alterou os níveis séricos ou o clearance renal de digoxina nos voluntários sadios. etanol (Álcool): dose única e doses múltiplas de 10 mg de anlodipino não tiveram efeito significante na farmacocinética do etanol. varfarina: a coadministração de anlodipino com varfarina não alterou o tempo de resposta de protombina da varfarina. ciclosporina: nenhum estudo de interação medicamentosa foi conduzido com a ciclosporina e o anlodipino em voluntários saudáveis ou outras populações com exceção dos pacientes com transplante renal.,-1,-1.0,varfarina; ciclosporina; atorvastatina; digoxina; anlodipino,15.0,0
cloridrato de donepezila,INTERAÇÕES MEDICAMENTOSAS,"O cloridrato de donepezila e seus metabólito s não inibem o metabolis mo da teofilina, varfarina, cimetidina, digoxina, tioridazina, risperidona e sertralina em humanos.",-1,-1.0,varfarina; sertralina; digoxina; risperidona; cimetidina,15.0,0
acetato de ciproterona etinilestradiol,INTERAÇÕES MEDICAMENTOSAS,"Estas alterações podem ser clinicamente relevantes em alguns casos. • Substâncias que reduzem a depuração de acetato de ciproterona + etinilestradiol (inibidores enzimáticos): Inibidores fortes e moderados do CYP3A4, tais como antifúngicos azólicos (por exemplo, itraconazol, voriconazol, fluconazol), verapamil, antibióticos macrolídeos (por exemplo, claritromicina, eritromicina), diltiazem e suco de tor anja (“grapefruit”) podem aumentar as concentrações plasmáticas de estrogênio ou de progestógeno, ou de ambos.",-1,-1.0,eritromicina; claritromicina; fluconazol; itraconazol; diltiazem,15.0,1
cloridrato de donepezila cloridrato de memantina,CONTRAINDICAÇÕES,"O cloridrato de donepezila e seus metabólitos não inibem o metabolismo da teofilina, varfarina, cimetidina, digoxina, tioridazina, risperidona e sertralina em humanos.",-1,-1.0,varfarina; sertralina; digoxina; risperidona; cimetidina,15.0,0
ramelteona,INTERAÇÕES MEDICAMENTOSAS,"A administração concomitante de ramelteona com omeprazol (substrato da CYP2C19), dextrometorfano (substrato da CYP2D6), midazolam (substrato da CYP3A4), teofilina (substrato da CYP1A2), digoxina (substrato da p- glicoproteína), varfarina (substrato da CYP2C 9 [S]/CYP1A2 [R]), venlafaxina, fluvoxamina, donepezila, doxepina, sertralina, escitalopram, zolpidem, lorazepam, gabapentina ou contraceptivo oral combinado contendo estradiol e levonorgestrel não produziu alterações clinicamente significativas nas exposi ções máxima e total a essas drogas.",-1,-1.0,varfarina; omeprazol; sertralina; digoxina; gabapentina,15.0,0
gelmax,INTERAÇÕES MEDICAMENTOSAS,"Interações Medicamento - Medicamento Os seguintes medicamentos têm seu efeito diminuído quando administrados concomitantemente com GELMAX®: tetraciclinas, fenitoínas, antifúngicos azólicos (ex. fluconazol, itraconazol, isoconazol), etambutol, suplementos orais de ferro, cefalosporinas (como cefazolina e cefadroxil a), gabapentina, digoxina, erlotinibe, atazanavir, amprenavir, preparações para tireoide (levotiroxina, por exemplo), bloqueadores dos canais de cálcio (por exemplo: anlodipin o, nifedipin o e verapamil).",-1,-1.0,digoxina; fluconazol; itraconazol; levotiroxina; verapamil,15.0,1
claritromicina,INTERAÇÕES  MEDICAMENTOSAS,"Quetiapina, lurasidona), alcaloides do ergot, alprazolam, astemizol, carbamazepina, cilostazol, cisaprida, metilprednisolona, omeprazol, pimozida, quinidina, sildenafila, sinvastatina, terfenadina, triazolam, sirolimo, tacrolimo, lovastatina, disopiramida, midazolam, ciclosporina, hidroxicloroquina, cloroquina, vimblastina, rifabutina, ticagrelor, ivabradina e ranolazina.",-1,-1.0,ciclosporina; omeprazol; sinvastatina; carbamazepina; quetiapina,15.0,
acido acetilsalicilico,ADVERTÊNCIAS E PRECAUÇÕES,"O ácido acetilsalicílico aumenta: • o risco de sangramento pelo uso de medicamentos anticoagulantes, agentes antiagregantes plaquetários ou álcool; • a toxicidade do metotrexato (quando utilizado em doses < 15 mg/semana) e do ácido valproico; • o risco de lesão gastrintestinal pelo uso de outros anti -inflamatórios não esteroidais (AINES) ou álcool; • o risco de sangramento gastrintestinal pelo uso de inibidores seletivos de recaptação da serotonina ou AINES; • os níveis sanguíneos de digoxina; • o efeito de determinados antidiabéticos, medicamentos para diminuir a taxa de açúcar no sangue (por exemplo, insulina, sulfonilureia); • o risco de superdose por salicilatos quando interrompido o tratamento com glicocorticoides sistêmicos.",-1,-1.0,digoxina; metotrexato; insulina; valproico; anticoagulantes,15.0,1
